老西门新苑	121.489369	31.222437
上海绿城（一至三期）	121.542497	31.212004
达安花园	121.435231	31.238108
保利叶语	121.367783	31.351594
仁恒河滨城（一至三期）	121.569014	31.235899
汇龙新城	121.483198	31.214136
尚海湾	121.464545	31.185411
碧云新天地（一至二期）	121.594895	31.270474
国际丽都城（一至三期）	121.465339	31.240376
湖畔佳苑	121.311153	31.178822
凯欣豪园	121.424541	31.221629
幸福小镇	121.502043	31.284874
闵行星河湾	121.425024	31.093538
金桥湾清水苑(一至三期)	121.603644	31.266177
远中风华园	121.462333	31.241412
上海康城（一至四期）	121.365508	31.107187
三林世博家园	121.540089	31.168456
绿地崴廉公寓一期	121.620035	31.29862
华府天地睿园	121.480864	31.224914
黄浦滩名苑	121.497736	31.249993
静安枫景苑	121.453782	31.236383
耕读园	121.492201	31.284951
梧桐城邦（一至三期）	121.417983	31.298814
古北瑞仕花园	121.410028	31.202227
阳光花城	121.628997	31.212284
张江汤臣豪园二期	121.589184	31.215583
中环一号	121.411607	31.299948
永业公寓（一至二期）	121.483658	31.213685
泰欣嘉园	121.438508	31.254374
水岸蓝桥	121.417502	31.280279
风度国际	121.3812	31.174885
嘉里华庭	121.442235	31.220187
浦东世纪花园（一至二期）	121.567139	31.217145
天山河畔花园（一至四期）	121.395897	31.221162
莱诗邸	121.445856	31.195964
金汇豪庭	121.388418	31.162024
万科城市花园(一至二期)	121.352084	31.165924
宝华现代城	121.461597	31.287721
申江豪城	121.505007	31.170566
春申景城（一至二期）	121.415629	31.114579
三湘四季花城	121.236211	31.058256
苏堤春晓名苑	121.436879	31.244071
保利西子湾	121.241256	31.067015
东方城市花园二期	121.53136	31.203798
保利叶上海（一至二期）	121.368258	31.351278
仁恒河滨花园	121.399388	31.221498
中凯城市之光（一至三期）	121.471669	31.233369
上海滩花园	121.506177	31.225264
万科假日风景	121.408177	31.111751
天山怡景苑	121.39214	31.223559
梅园三街坊	121.530878	31.239343
合生江湾国际公寓	121.520271	31.341859
中远两湾城四期	121.455505	31.258116
万邦都市花园（一至五期）	121.556595	31.205046
路劲上海派	121.487899	31.249162
新梅共和城	121.456417	31.289553
经纬城市绿洲（一至三期）	121.412413	31.33267
华府天地	121.480864	31.224914
香梅花园（一至五期）	121.545242	31.21593
世茂湖滨花园	121.585126	31.237365
华润外滩九里	117.124522	34.321211
印象春城	121.598496	31.120363
上海春城（一至三期）	121.413396	31.109851
金谊河畔	121.522996	31.145209
大华清水湾花园	121.418953	31.234762
九城湖滨国际公寓	121.49685	31.267751
东方曼哈顿（一至三期）	121.440657	31.197073
虹桥豪苑	121.415599	31.214356
美林小城	121.571257	31.124341
华侨城苏河湾	121.482721	31.248581
耀江花园（一至二期）	121.498193	31.20445
浦东星河湾	121.543877	31.198267
江南星城（一至二期）	121.397311	31.141904
上海知音苑	121.434084	31.241015
凌兆新村	121.498035	31.150693
西班牙名园	121.410851	31.133409
新湖明珠城（一至三期）	121.433884	31.248443
嘉利明珠城	121.469158	31.280405
上海阳城	121.401469	31.127467
上南花城	121.498224	31.184032
皇都花园（一至二期）	121.377134	31.1416
世纪同乐	121.42814	31.235992
御翠豪庭	121.405527	31.20229
中远两湾城一期	121.455505	31.258116
第九城市（一至二期）	121.570155	31.233732
世茂滨江花园	121.520737	31.230033
绿城黄浦湾	121.511325	31.222951
翠湖天地御苑	121.484625	31.223842
海悦花园	121.480341	31.208408
爱建园	121.441256	31.18241
上海奥林匹克花园（一至三期）	121.333481	31.159226
上海香溢花城	121.439316	31.261928
仁恒滨江园（一至三期）	121.517468	31.236464
虹桥万博花园	121.408034	31.223636
观庭	121.286742	31.160548
淡水湾花园	121.481073	31.217107
金色贝拉维	121.409128	31.200092
盛大金磐	121.511066	31.237499
华润中央公园	121.324399	31.31756
万科朗润园	121.346476	31.159563
南方城	121.407719	31.139834
未来域	121.542685	31.15606
环球翡翠湾花园	121.540637	31.159476
瑞虹新城一期	121.502288	31.270078
黄浦丽园	121.49338	31.214882
翠湖天地嘉苑	121.482454	31.223643
万科城花新园	121.341029	31.161018
浦发绿城	121.545265	31.160022
嘉誉湾	121.514653	31.338347
中远两湾城二期	121.455505	31.258116
天山华庭	121.392405	31.222003
新时代花园	121.394282	31.148387
南方新村	121.407277	31.141112
名都新城（一至四期）	121.397787	31.112111
九歌上郡	121.388216	31.171193
明园森林都市	121.464205	31.296822
潍坊十村	121.529502	31.228045
金杨新村七街坊	121.587621	31.252107
东苑半岛花园	121.390806	31.143724
金杨新村五街坊	121.585445	31.249589
三和花园	121.447356	31.235229
大同花园（一至四期）	121.479521	31.211884
万科金色雅筑	121.52464	31.150726
康桥半岛(一至六期)	121.585086	31.138166
三花现代城	121.483069	31.32504
证大家园（一至五期）	121.600271	31.288214
天山星城	121.391739	31.219196
兆丰帝景苑	121.450555	31.202606
上海春天	121.42695	31.23797
锦秋花园	121.398956	31.32701
瑞虹新城二期	121.505508	31.267469
慧芝湖花园一期	121.464786	31.287731
歌林春天	121.449942	31.27906
欧风花都	121.393116	31.155423
天馨花园	121.438382	31.370169
滨江凯旋门	121.428078	31.207988
罗阳七村	121.407699	31.12759
古北国际花园	121.409833	31.201963
城市经典高迪	121.624603	31.219651
盛世年华	121.545477	31.23533
四和花园	121.448394	31.234
爱家豪庭	121.499296	31.267657
上海滩大宁城	121.460907	31.266676
春天花园	121.410519	31.223957
御翠园	121.574652	31.223782
徐家汇花园	121.453985	31.198378
士林华苑	121.497419	31.22615
绿地东上海·海富城市花园	121.575991	31.132783
浦江名邸	121.502713	31.261748
新外滩花苑	121.511304	31.256446
水清木华	121.566953	31.232196
世华锦城	121.506615	31.1688
虹桥河滨花园	121.408998	31.224369
大上海国际花园	121.386705	31.170561
梅园五街坊	121.534543	31.23784
康桥老街	121.572614	31.144246
黄浦新苑	121.492179	31.216617
翠湖天地雅苑	121.485709	31.224326
永泰花苑	121.523844	31.145282
